"codigo_nacional_farmaco_cd"|"codigo_descripcion"|"atc_farmaco_dispensado_cd"|"ddd_nomenclator_nm"|"ddd_por_envase"|"pvp_nomenclator_nm"|"precio_por_envase_nm"|"clase_aware_cd"
"607341"|"SULFADIAZINA REIG JOFRE 500MG 500 COMPRIMIDOS"|"J01EC02"|600|416.66|39.64|39.64|"Access"
"610097"|"SEPTRIN 400MG/80MG 500 COMPRIMIDOS"|"J01EE01"|1600|125|23.79|23.79|"Access"
"610113"|"SEPTRIN PEDIATRICO (40MG/8MG)/ML 100ML 20 FRASCOS SUSPENSION ORAL"|"J01EE01"|1600|50|27.22|27.22|"Access"
"625194"|"GOBENS-TRIM (200/40MG)/5ML 100ML 20 FRASCOS SUSPENSION ORAL"|"J01EE01"|1600|50|20.89|20.89|"Access"
"600205"|"PANTOMICINA 500MG E.S. 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01FA01"|2000|125|98.65|98.65|"Watch"
"600213"|"PANTOMICINA 500MG E.S. 500 SOBRES GRANULADO SUSPENSION ORAL"|"J01FA01"|2000|125|98.65|98.65|"Watch"
"636159"|"GENTAMICINA BRAUN 40MG 100 VIALES 2ML SOLUCION INYECTABLE"|"J01GB03"|240|16.66|18.79|18.79|"Access"
"637835"|"GENTAMICINA CEPA INYECTABLE 80MG 100 VIALES 2ML SOLUCION INYECTABLE"|"J01GB03"|240|33.33|37.59|37.59|"Access"
"631796"|"GENTAMICINA MAYNE 80MG 100 VIALES 2ML SOLUCION INYECTABLE"|"J01GB03"|240|33.33|122.88|122.88|"Access"
"609131"|"GEVRAMYCIN 80MG 100 VIALES 2ML SOLUCION INYECTABLE"|"J01GB03"|240|33.33|167.49|167.49|"Access"
"621268"|"NORFLOXACINO NORMON 400MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01MA06"|800|250|133.03|133.03|"Watch"
"619114"|"NALION 400MG 500 COMPRIMIDOS RECUBIERTOS"|"J01MA06"|800|250|288.94|288.94|"Watch"
"601948"|"NORFLOXACINO LESVI 400MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01MA06"|800|250|152.14|152.14|"Watch"
"609636"|"NORFLOXACINO SANDOZ 400MG 500 COMPRIMIDOS EFG"|"J01MA06"|800|250|154.13|154.13|"Watch"
"607121"|"TAVANIC 500MG 50 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01MA12"|500|50|63.48|63.48|"Watch"
"620427"|"DOSIL 100MG 500 CAPSULAS"|"J01AA02"|100|500|82.17|82.17|"Access"
"600069"|"AMOXICILINA/CLAVULANICO RATIOPHARM 875MG/125MG 500 SOBRES POLVO SP EFG"|"J01CR02"|1500|291.66|111.43|111.43|"Access"
"600113"|"AMOXICILINA/CLAVULANICO CINFA 250MG/62,5MG 500 SOBRES SUSPENS ORAL EFG"|"J01CR02"|1500|83.33|57.47|57.47|"Access"
"600115"|"AMOXICILINA/CLAVULANICO CINFA 500MG/125MG 500 SOBRES SUSPENS ORAL EFG"|"J01CR02"|1500|166.66|63.68|63.68|"Access"
"600063"|"AMOXICILINA/CLAVULANICO SANDOZ 500/125MG 500 SOBRES SUSP EFG"|"J01CR02"|1500|166.66|63.68|63.68|"Access"
"600116"|"AMOXICILINA/CLAVULANICO CINFA 875MG/125MG 500 SOBRES SUSPENS ORAL EFG"|"J01CR02"|1500|291.66|111.43|111.43|"Access"
"607314"|"ZANETIN 750MG 100 VIALES POLVO SOLUCION INYECTABLE Y PERFUSION EFG"|"J01DC02"|3000|25|129.23|129.23|"Watch"
"602503"|"CEFUROXIMA RATIOPHARM 500MG 500 SOBRES POLVO SUSPENSION ORAL EFG"|"J01DC02"|500|500|343.24|343.24|"Watch"
"602470"|"CEFUROXIMA REIG JOFRE 250MG 100 VIALES+AMP POLVO+DISOLV SOLUC INY EFG"|"J01DC02"|3000|8.33|101.94|101.94|"Watch"
"602502"|"CEFUROXIMA RATIOPHARM 250MG 500 SOBRES POLVO SUSPENSION ORAL EFG"|"J01DC02"|500|250|191.58|191.58|"Watch"
"600785"|"CEFUROXIMA KERN PHARMA 125MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|125|161.01|161.01|"Watch"
"600786"|"CEFUROXIMA PHARMAKERN 250MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|250|171.79|171.79|"Watch"
"603629"|"CEFTAZIDIMA PFIZER 1G 50 VIALES POLVO SOLUCION INYECTABLE EFG"|"J01DD02"|4000|12.5|184.24|184.24|"Watch"
"607080"|"CEFTAZIDIMA MIP 1G 10 VIALES POLVO SOLUCION INYECTABLE/PERFUSION EFG"|"J01DD02"|4000|2.5|35.34|35.34|"Watch"
"600292"|"CEFTAZIDIMA NORMON 1G 50 VIALES POLVO Y DISOLV SOLUCION INYECTABLE EFG"|"J01DD02"|4000|12.5|176.68|176.68|"Watch"
"600294"|"CEFTAZIDIMA NORMON 500MG 50 INYECT POLVO Y DISOLV SOLUCION EFG"|"J01DD02"|4000|6.25|88.35|88.35|"Watch"
"625202"|"ERITROMICINA NORMON 500MG 500 COMPRIMIDOS RECUBIERTOS"|"J01FA01"|2000|125|98.65|98.65|"Watch"
"637868"|"PANTOMICINA 1000MG E.S. 500 SOBRES GRANULADO SUSPENSION ORAL"|"J01FA01"|2000|250|197.3|197.3|"Watch"
"600122"|"PANTOMICINA 250MG E.S. 500 SOBRES GRANULADO SUSPENSION ORAL"|"J01FA01"|2000|62.5|49.32|49.32|"Watch"
"600197"|"PANTOMICINA 250MG/5ML 120ML 20 FRASCOS GRANULADO SUSPENSION ORAL"|"J01FA01"|1000|120|81.3|81.3|"Watch"
"619940"|"ROVAMYCINE 1,5MUI 500 COMPRIMIDOS"|"J01FA02"|3000|83.33|57.43|57.43|"Watch"
"614065"|"DICORVIN 500MG 500 CAPSULAS"|"J01FA02"|3000|83.33|115.49|115.49|"Watch"
"639617"|"RULIDE 150MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01FA06"|300|250|414.5|414.5|"Watch"
"606467"|"ROXITROMICINA CENTRUM 150MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA06"|300|250|191.58|191.58|"Watch"
"606475"|"ROXITROMICINA CENTRUM 300MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA06"|300|500|354.69|354.69|"Watch"
"607432"|"ROXITROMICINA EDIGEN 150MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA06"|300|250|273.68|273.68|"Watch"
"913509"|"CEFONICID EDIGEN 1G INTRAMUSCULAR 1 INYECTABLE 2,5ML EFG"|"J01DC06"|1000|1|3.98|3.98|"Watch"
"913517"|"CEFONICID PLIVA 1G INTRAVENOSA 1 INYECTABLE 2,5ML SOLUCION EFG"|"J01DC06"|1000|1|3.98|3.98|"Watch"
"855858"|"CEFONICIDA PHARMAGENUS 1G INTRAMUSCULAR 1 VIAL+AMPOLLA INYEC 2,5ML EFG"|"J01DC06"|1000|1|6.54|6.54|"Watch"
"606897"|"BIOMARGEN 240MG 100 VIALES POLVO + 100 AMPOLLAS DISOLV SOLUC INYECTABL"|"J01GB03"|240|100|162.43|162.43|"Access"
"636803"|"GENTAMICINA BRAUN 120MG 100 VIALES 3ML SOLUCION INYECTABLE"|"J01GB03"|240|50|100.01|100.01|"Access"
"603644"|"LEVOFLOXACINO COMBIX 500MG 200 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01MA12"|500|200|253.93|253.93|"Watch"
"603646"|"LEVOFLOXACINO SWANPOND INVESTMENTS 500MG 200 COMPRIMID RECUB PELIC EFG"|"J01MA12"|500|200|253.94|253.94|"Watch"
"603523"|"LEVOFLOXACINO MABO 500MG 200 COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"|"J01MA12"|500|200|253.93|253.93|"Watch"
"605911"|"LEVOFLOXACINO BLUEPHARMA 500MG 500 COMPRIMIDOS RECUBIERTOS PELICUL EFG"|"J01MA12"|500|500|621.81|621.81|"Watch"
"605809"|"LEVOFLOXACINO GOIBELA 500MG 200 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01MA12"|500|200|253.81|253.81|"Watch"
"609875"|"DOXITEN BIO 100MG 100 CAPSULAS"|"J01AA02"|100|100|21.07|21.07|"Access"
"617258"|"KINCICLINA 250G 500 COMPRIMIDOS"|"J01AA07"|1000|125|49.93|49.93|"Access"
"601450"|"TETRACICLINA ITALFARMACO 250MG 500 COMPRIMIDOS"|"J01AA07"|1000|125|61.15|61.15|"Access"
"627547"|"MINOCIN 100MG 100 CAPSULAS"|"J01AA08"|200|50|29.34|29.34|"Reserve"
"601708"|"AMOXICILINA/CLAVULANICO ALTER 875MG/125MG 500 COMPRIMIDOS RECUB PELIC"|"J01CR02"|1500|291.66|219.04|219.04|"Access"
"636951"|"AMOXICILINA/CLAVULANICO PENSA 500MG/125MG 500 SOBRES POLVO SUSPENS EFG"|"J01CR02"|1500|166.66|132.66|132.66|"Access"
"636969"|"AMOXICILINA/CLAVULANICO MUNDOGEN 125MG/31,25MG 500 SOBRES SUSP ORA EFG"|"J01CR02"|1500|41.66|59.42|59.42|"Access"
"637058"|"AMOXICILINA/CLAVULANICO PENSA 250MG/62,5MG 500 SOBRES POLVO SUSPEN EFG"|"J01CR02"|1500|83.33|68.53|68.53|"Access"
"638668"|"AMOXICILINA/CLAVULANICO PENSA 500MG/125MG 500 COMPRIMIDOS RECU PEL EFG"|"J01CR02"|1500|166.66|63.68|63.68|"Access"
"625954"|"AMOXYPLUS 250/62,5MG 500 SOBRES MONODOSIS SUSPENSION ORAL"|"J01CR02"|1500|83.33|110.93|110.93|"Access"
"640441"|"AMOXYPLUS 500/125MG 500 COMPRIMIDOS"|"J01CR02"|1500|166.66|181.32|181.32|"Access"
"644716"|"AMOXYPLUS 875/125MG 500 SOBRES MONODOSIS SUSPENSION ORAL"|"J01CR02"|1500|291.66|241.95|241.95|"Access"
"600787"|"CEFUROXIMA PHARMAKERN 500MG 500 COMPRIMIDOS RECUBIRTOS PELICULA EFG"|"J01DC02"|500|500|345.8|345.8|"Watch"
"605630"|"CEFUROXIMA AUROBINDO 125MG 500 COMPRIMIDOS EFG"|"J01DC02"|500|125|83.71|83.71|"Watch"
"605632"|"CEFUROXIMA AUROBINDO 250MG 500 COMPRIMIDOS EFG"|"J01DC02"|500|250|156.49|156.49|"Watch"
"605635"|"CEFUROXIMA AUROBINDO 500MG 500 COMPRIMIDOS EFG"|"J01DC02"|500|500|315.5|315.5|"Watch"
"600233"|"CEFUROXIMA SANDOZ 750MG 100 VIALES POLVO SOLUCION INYECTABLE"|"J01DC02"|3000|25|224.42|224.42|"Watch"
"600731"|"CEFUROXIMA RATIOPHARM 250MG 500 COMPRIMIDOS RECUB PELIC EFG"|"J01DC02"|500|250|174.98|174.98|"Watch"
"600747"|"CEFUROXIMA NORMON 250MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|250|174.98|174.98|"Watch"
"600748"|"CEFUROXIMA NORMON 500MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|500|349.95|349.95|"Watch"
"600751"|"CEFUROXIMA CINFA 125MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|125|161.47|161.47|"Watch"
"600752"|"CEFUROXIMA CINFA 250MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|250|291.02|291.02|"Watch"
"600753"|"CEFUROXIMA CINFA 500MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|500|510.88|510.88|"Watch"
"603360"|"CEFUROXIMA CINFA 500MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|500|349.95|349.95|"Watch"
"600251"|"CEFTAZIDIMA ACCORD 1G 50 VIALES POLVO+DISOLV SOLUCION INYECTABLE EFG"|"J01DD02"|4000|12.5|176.68|176.68|"Watch"
"600255"|"CEFTAZIDIMA ACCORD 500MG 50 VIALES POLVO SOLUCION INYECTABLE EFG"|"J01DD02"|4000|6.25|88.35|88.35|"Watch"
"620161"|"KEFAMIN 0,5G 50 VIALES+50 AMP POLVO+DISOLV SOLUCION INYECTABLE"|"J01DD02"|4000|6.25|256.53|256.53|"Watch"
"617852"|"CEFTRIAXONA LDP TORLAN 500MG IV 100 VIALES POLV+DISOLV SOLUC INYEC EFG"|"J01DD04"|2000|25|294.76|294.76|"Watch"
"617845"|"CEFTRIAXONA LDP TORLAN 1G IV 100 POLVO+AMP DISOLV SOLUCION INYECT EFG"|"J01DD04"|2000|50|179.66|179.66|"Watch"
"617936"|"CEFTRIAXONA LDP TORLAN 500MG IM 100 VIALES POLVO+AMP DIS SOLUC INY EFG"|"J01DD04"|2000|25|294.76|294.76|"Watch"
"605774"|"ROXITROMICINA SANDOZ 300MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01FA06"|300|500|506.62|506.62|"Watch"
"605782"|"ROXITROMICINA SANDOZ 150MG 500 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01FA06"|300|250|273.88|273.88|"Watch"
"639633"|"MACROSIL 150MG 500 COMPRIMIDOS RECUBIERTOS"|"J01FA06"|300|250|414.5|414.5|"Watch"
"642520"|"JOSAMINA 1G 500 SOBRES MONODOSIS"|"J01FA07"|2000|250|463.68|463.68|"Watch"
"625913"|"JOSAMINA 500MG 500 COMPRIMIDOS RECUBIERTOS"|"J01FA07"|2000|125|210.75|210.75|"Watch"
"609040"|"CLARITROMICINA KERN PHARMA 500MG 500 COMPRIMIDOS RECUB EFG"|"J01FA09"|500|500|287.88|287.88|"Watch"
"609156"|"CLARITROMICINA KERN PHARMA 250MG 500 COMPRIMIDOS RECUB EFG"|"J01FA09"|500|250|159.52|159.52|"Watch"
"614818"|"CLARITROMICINA NORMON 250MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|250|159.52|159.52|"Watch"
"614826"|"CLARITROMICINA NORMON 500MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|500|287.88|287.88|"Watch"
"610329"|"CLARITROMICINA ALTER 500MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|500|287.88|287.88|"Watch"
"613299"|"CLARITROMICINA COMBIX 250MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|250|194.39|194.39|"Watch"
"613307"|"CLARITROMICINA COMBIX 500MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|500|315.98|315.98|"Watch"
"638791"|"AMICACINA BRAUN 62,5MG/ML 2ML 50 VIALES SOLUCION INYECTABLE"|"J01GB06"|1000|6.25|55.24|55.24|"Access"
"626978"|"BICLIN 500MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB06"|1000|25|193.63|193.63|"Access"
"648642"|"AMICACINA BRAUN 5MG/ML 100ML 20 FRASCOS SOLUCION PERFUSION"|"J01GB06"|1000|10|66.06|66.06|"Access"
"625301"|"AMIKACINA NORMON 125MG 50 VIALES 2ML SOLUCION INYECTABLE EFG"|"J01GB06"|1000|6.25|31.3|31.3|"Access"
"625319"|"AMIKACINA NORMON 250MG 50 VIALES 2ML SOLUCION INYECTABLE EFG"|"J01GB06"|1000|12.5|62.59|62.59|"Access"
"630566"|"AMIKACINA MAYNE 250MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB06"|1000|12.5|91.74|91.74|"Access"
"630574"|"AMIKACINA MAYNE 500MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB06"|1000|25|172|172|"Access"
"625327"|"AMIKACINA NORMON 500MG/VIAL 50 VIALES 2ML SOLUCION INYEC EFG"|"J01GB06"|1000|25|100.96|100.96|"Access"
"604447"|"AMIKACINA COMBINO PHARM 62,5MG/ML 50 VIALES 2ML SOLUCION INYECTAB EFG"|"J01GB06"|1000|6.25|50.99|50.99|"Access"
"604454"|"AMIKACINA COMBINO PHARM 125MG/ML 50 VIALES 2ML SOLUCION INYECTABLE EFG"|"J01GB06"|1000|12.5|63.6|63.6|"Access"
"603386"|"LEVOFLOXACINO KERN PHARMA 500MG 200 COMPRIMIDOS RECUBIERTOS PELIC EFG"|"J01MA12"|500|200|253.93|253.93|"Watch"
"602811"|"LEVOFLOXACINO NORMON 500MG 200 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01MA12"|500|200|253.93|253.93|"Watch"
"602742"|"LEVOFLOXACINO STADA 500MG 200 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01MA12"|500|200|253.93|253.93|"Watch"
"636266"|"BRITAPEN 500MG 100 VIALES INYECTABLES"|"J01CA01"|6000|8.33|63.6|63.6|"Access"
"624635"|"GOBEMICINA 1G 100 VIALES POLVO + 100 AMPOLLAS DISOLV SOLUC INYECT 4ML"|"J01CA01"|6000|16.66|70.67|70.67|"Access"
"624627"|"GOBEMICINA 500MG 100 VIALES + 100 AMPOLLAS POLVO+DISOLV SOLUC INYECTAB"|"J01CA01"|6000|8.33|63.6|63.6|"Access"
"604835"|"BRITAPEN 1G 100 INYECTABLES 3ML POLVO+DISOLVENTE SOLUCION INYECTABLE"|"J01CA01"|6000|16.66|70.67|70.67|"Access"
"602375"|"ANTIBIOPEN 500MG 500 CAPSULAS"|"J01CA01"|2000|125|64.89|64.89|"Access"
"624619"|"GOBEMICINA 250MG 100 INYECTABLES 2ML"|"J01CA01"|6000|4.16|49.47|49.47|"Access"
"625087"|"GOBEMICINA 500MG 500 CAPSULAS"|"J01CA01"|2000|125|68.46|68.46|"Access"
"604801"|"NUVAPEN 500MG 500 CAPSULAS"|"J01CA01"|2000|125|75.48|75.48|"Access"
"620583"|"AMPICILINA LLORENTE 1G 100 VIALES POLVO + 100 AMPOLLAS DISOLV INYECTAB"|"J01CA01"|6000|16.66|108.1|108.1|"Access"
"636852"|"CLAVUCID 500MG/125MG 500 COMPRIMIDOS RECUBIERTOS"|"J01CR02"|1500|166.66|63.68|63.68|"Access"
"633198"|"CLAVUCID 500/125MG 500 SOBRES MONODOSIS SUSPENSION ORAL"|"J01CR02"|1500|166.66|197.81|197.81|"Access"
"604561"|"AMOXICILINA/CLAVULANICO IBER UCRA 500MG/125MG 500 COMPRIMIDOS REC PELI"|"J01CR02"|1500|166.66|63.68|63.68|"Access"
"604942"|"AMOXICILINA/CLAVULANICO UCRAFARMA 500MG/125MG 500 SOBRES POLV SUS ORAL"|"J01CR02"|1500|166.66|217.62|217.62|"Access"
"643031"|"DUONASA 250/62,5MG 500 SOBRES"|"J01CR02"|1500|83.33|105.07|105.07|"Access"
"643015"|"DUONASA 500/125MG 500 COMPRIMIDOS RECUBIERTOS"|"J01CR02"|1500|166.66|63.68|63.68|"Access"
"642975"|"DUONASA 500/125MG 500 SOBRES"|"J01CR02"|1500|166.66|203.4|203.4|"Access"
"637728"|"EUPECLANIC 125/31,25MG 500 SOBRES MONODOSIS"|"J01CR02"|1500|41.66|54.8|54.8|"Access"
"637702"|"EUPECLANIC 250/62,5MG 500 SOBRES MONODOSIS"|"J01CR02"|1500|83.33|97.89|97.89|"Access"
"605238"|"EUPECLANIC 875MG/125MG 100 COMPRIMIDOS RECUBIERTOS"|"J01CR02"|1500|58.33|263.17|263.17|"Access"
"620963"|"INMUPEN 250MG/62,5MG 500 SOBRES POLVO SUSPENSION ORAL"|"J01CR02"|1500|83.33|106.15|106.15|"Access"
"631432"|"AUGMENTINE PLUS 1000/62,5MG 500 COMPRIMIDOS LIBERACION PROLONGADA"|"J01CR02"|1500|333.33|127.35|127.35|"Access"
"603362"|"CEFUROXIMA STADA 500MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|500|349.95|349.95|"Watch"
"603378"|"CEFUROXIMA CINFA 250MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|250|174.98|174.98|"Watch"
"603192"|"CEFUROXIMA CINFA 250MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|250|171.79|171.79|"Watch"
"603193"|"CEFUROXIMA CINFA 500MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|500|345.8|345.8|"Watch"
"603190"|"CEFUROXIMA CINFA 125MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01DC02"|500|125|86.52|86.52|"Watch"
"602938"|"CEFUROXIMA STADA 500MG 504 COMPRIMIDOS EFG"|"J01DC02"|500|504|348.56|348.56|"Watch"
"602939"|"CEFUROXIMA STADA 250MG 504 COMPRIMIDOS EFG"|"J01DC02"|500|252|173.15|173.15|"Watch"
"603020"|"CEFUROXIMA KERN PHARMA 250MG 500 COMPRIMIDOS RECUB PELIC FRASCO EFG"|"J01DC02"|500|250|174.98|174.98|"Watch"
"603018"|"CEFUROXIMA KERN PHARMA 250MG 500 COMPRIMIDOS RECUB PELIC BLISTER EFG"|"J01DC02"|500|250|174.98|174.98|"Watch"
"603021"|"CEFUROXIMA KERN PHARMA 500MG 500 COMPRIMIDOS RECUB PELIC BLISTER EFG"|"J01DC02"|500|500|349.95|349.95|"Watch"
"603022"|"CEFUROXIMA KERN PHARMA 500MG 500 COMPRIMIDOS RECUB PELIC FRASCO EFG"|"J01DC02"|500|500|349.95|349.95|"Watch"
"617928"|"CEFTRIAXONA LDP TORLAN 1G IM 100 VIALES POLVO+AMP DISOL SOLUC INY EFG"|"J01DD04"|2000|50|179.66|179.66|"Watch"
"608158"|"CEFTRIAXONA FRESENIUS KABI 1G IV 100 VIALES POLVO SOLUCION INYECT EFG"|"J01DD04"|2000|50|179.66|179.66|"Watch"
"608216"|"CEFTRIAXONA FRESENIUS KABI 1G IM 100 VIALES POLV+AMP DIS SOL INYEC EFG"|"J01DD04"|2000|50|179.66|179.66|"Watch"
"608224"|"CEFTRIAXONA FRESENIUS KABI 500MG IM 100 VIALES+AMP DIS SOLUC INYEC EFG"|"J01DD04"|2000|25|294.76|294.76|"Watch"
"608232"|"CEFTRIAXONA FRESENIUS KABI 500MG IV 100 VIALES+AMP DIS SOLUC INYEC EFG"|"J01DD04"|2000|25|294.76|294.76|"Watch"
"614503"|"CEFTRIAXONA NORMON 1G IV 100 VIALES POLVO+AMP DISOLV SOLUC INYECT EFG"|"J01DD04"|2000|50|179.66|179.66|"Watch"
"618322"|"CEFTRIAXONA SANDOZ 1G IV 100 VIALES POLVO+AMP DISOLV SOLUC INYECT EFG"|"J01DD04"|2000|50|803.54|803.54|"Watch"
"618546"|"CEFTRIAXONA SANDOZ 1G IM 100 VIALES POLVO+AMP DISOLV SOLUC INYECT EFG"|"J01DD04"|2000|50|803.54|803.54|"Watch"
"610253"|"CLARITROMICINA FARMABION 500MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|500|315.98|315.98|"Watch"
"613513"|"CLARITROMICINA RATIOPHARM 250MG 500 COMPRIMIDOS RECUB EFG"|"J01FA09"|500|250|194.39|194.39|"Watch"
"612218"|"CLARITROMICINA VIR 250MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|250|159.52|159.52|"Watch"
"612200"|"CLARITROMICINA VIR 500MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|500|287.88|287.88|"Watch"
"627620"|"CLARITROMICINA LAREQ 250MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|250|317.47|317.47|"Watch"
"612838"|"CLARITROMICINA ARISTO 250MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|250|159.52|159.52|"Watch"
"615674"|"KLACID UNIDIA 500MG 500 COMPRIMIDOS LIBERACION MODIFICADA"|"J01FA09"|500|500|287.88|287.88|"Watch"
"610337"|"CLARITROMICINA ALTER 250MG 500 COMPRIMIDOS RECUBIERTOS EFG"|"J01FA09"|500|250|159.52|159.52|"Watch"
"604462"|"AMIKACINA COMBINO PHARM 250MG/ML 50 VIALES 2ML SOLUCION INYECTABLE EFG"|"J01GB06"|1000|25|100.96|100.96|"Access"
"600382"|"AMIKACINA GENFARMA 125MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB06"|1000|6.25|26.44|26.44|"Access"
"600392"|"AMIKACINA SALA 125MG 50 VIALES 2ML SOLUCION INYECTABLE EFG"|"J01GB06"|1000|6.25|31.3|31.3|"Access"
"600393"|"AMIKACINA SALA 500MG 50 VIALES 2ML SOLUCION INYECTABLE EFG"|"J01GB06"|1000|25|100.96|100.96|"Access"
"600394"|"AMIKACINA REIG JOFRE 500MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB06"|1000|25|102.69|102.69|"Access"
"600397"|"AMIKACINA REIG JOFRE 125MG 50 VIALES 2ML SOLUCION INYECTABLE"|"J01GB06"|1000|6.25|34.84|34.84|"Access"
"609248"|"NETROCIN 100MG 50 AMPOLLAS 2ML"|"J01GB07"|350|14.28|127.71|127.71|"Watch"
"605679"|"LEVOFLOXACINO ACCORD 250MG 200 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01MA12"|500|100|126.98|126.98|"Watch"
"605765"|"LEVOFLOXACINO CINFA 500MG 200 COMPRIMIDOS RECUBIERTOS PELICULA EFG"|"J01MA12"|500|200|253.81|253.81|"Watch"
"605594"|"LEVOFLOXACINO AUROBINDO 500MG 200 COMPRIMIDOS RECUBIERTOS PELICULA"|"J01MA12"|500|200|253.93|253.93|"Watch"
"640516"|"CLAMOXYL 500MG 500 SOBRES POLVO SUSPENSION ORAL"|"J01CA04"|1500|166.66|33.66|33.66|"Access"
"625152"|"AMOXI-GOBENS 1G 100 VIALES INYECTABLES"|"J01CA04"|3000|33.33|144.55|144.55|"Access"
"636407"|"CLAMOXYL IM 1G 100 VIALES + 100 AMPOLLAS 5ML INYECTABLES"|"J01CA04"|3000|33.33|134.88|134.88|"Access"
"621714"|"AMOXICILINA FARMYGEL 1000MG 500 COMPRIMIDOS EFG"|"J01CA04"|1500|333.33|107.47|107.47|"Access"
"621706"|"AMOXICILINA FARMYGEL 500MG 500 CAPSULAS EFG"|"J01CA04"|1500|166.66|49.45|49.45|"Access"
"623702"|"AMOXICILINA NORMON 250MG/5ML 120ML 20 FRASCOS POLVO SUSPENS ORAL EFG"|"J01CA04"|1500|80|30.66|30.66|"Access"
"605733"|"AMOXICILINA NORMON 1G 500 COMPRIMIDOS EFG"|"J01CA04"|1500|333.33|67.3|67.3|"Access"
"604603"|"AGERPEN 500MG 500 CAPSULAS"|"J01CA04"|1500|166.66|91.48|91.48|"Access"
"605444"|"BRITAMOX 250MG 500 SOBRES MONODOSIS POLVO SUSPENSION ORAL"|"J01CA04"|1500|83.33|74.13|74.13|"Access"
"641761"|"AGERPEN 500MG 500 SOBRES MONODOSIS POLVO SUSPENSION ORAL"|"J01CA04"|1500|166.66|84.29|84.29|"Access"
"626770"|"CLAVEPEN 500/125MG 500 COMPRIMIDOS"|"J01CR02"|1500|166.66|206.46|206.46|"Access"
"636480"|"AUGMENTINE 250/62,5MG 500 SOBRES POLVO SUSPENSION ORAL"|"J01CR02"|1500|83.33|102.78|102.78|"Access"
"604934"|"AMOXICILINA/CLAVULANICO UCRAFARMA 250MG/62,5MG 500 SOBRES POL SUS ORAL"|"J01CR02"|1500|83.33|111.85|111.85|"Access"
"637736"|"EUPECLANIC 500/125MG 500 COMPRIMIDOS"|"J01CR02"|1500|166.66|181.32|181.32|"Access"
"621946"|"AMOXICILINA/CLAVULANICO APOTEX 875MG/125MG 500 COMPRIMIDOS REC PEL EFG"|"J01CR02"|1500|291.66|111.43|111.43|"Access"
